#20200207 
www.viva64.com/en/w	1	err	Help: The documentation for all analyzer warnings is available here: https://www.viva64.com/en/w/.
geneidc/src/geneid.c	83	warn	V707 Giving short names to global variables is considered to be bad practice. It is suggested to rename 'BP' variable.
geneidc/src/geneid.c	111	warn	V707 Giving short names to global variables is considered to be bad practice. It is suggested to rename 'HI' variable.
geneidc/src/geneid.c	120	warn	V707 Giving short names to global variables is considered to be bad practice. It is suggested to rename 'EW' variable.
geneidc/src/geneid.c	142	warn	V707 Giving short names to global variables is considered to be bad practice. It is suggested to rename 'm' variable.
geneidc/src/geneid.c	317	warn	V1048 The 'U12GTAG' variable was assigned the same value.
geneidc/src/geneid.c	318	warn	V1048 The 'U12ATAC' variable was assigned the same value.
geneidc/src/geneid.c	424	warn	V1048 The 'lowerlimit' variable was assigned the same value.
geneidc/src/geneid.c	442	err	V501 There are identical sub-expressions to the left and to the right of the '-' operator: l1 - l1
geneidc/src/BackupGenes.c	229	warn	V1048 The 'j' variable was assigned the same value.
geneidc/src/BuildAcceptors.c	38	warn	V707 Giving short names to global variables is considered to be bad practice. It is suggested to rename 'BP' variable.
geneidc/src/BuildU12Acceptors.c	38	warn	V707 Giving short names to global variables is considered to be bad practice. It is suggested to rename 'BP' variable.
geneidc/src/BuildU12Acceptors.c	171	warn	V547 Expression 'ns < NUMSITES' is always true.
geneidc/src/BuildU12Acceptors.c	237	warn	V547 Expression 'ns < NUMSITES' is always true.
geneidc/src/BuildU12Acceptors.c	299	warn	V547 Expression 'ns < NUMSITES' is always true.
geneidc/src/BuildU12Acceptors.c	360	warn	V547 Expression 'ns < NUMSITES' is always true.
geneidc/src/BuildInitialExons.c	105	warn	V769 The 'LocalExon' pointer in the 'LocalExon + nLocalExons' expression could be nullptr. In such case, resulting value will be senseless and it should not be used. Check lines: 105, 61.
